date,state,customers_elec,price_elec,revenue_elec,sales_elec
2001-06,NV,,8.37,220.70072,2637.28236
2001-06,NE,,5.92,122.45791,2069.57691
2001-06,DC,,8.65,93.64144,1082.03254
2001-06,DE,,7.21,65.38573,907.30743
2001-06,CT,,9.56,254.49112,2660.78767
2001-06,CO,,6.48,238.94754,3685.90454
2001-06,CA,,11.34,2404.00318,21194.24204
2001-06,AR,,6.53,231.67427,3550.33976
2001-06,AZ,,8.01,465.79906,5816.22924
2001-06,AK,,10.58,43.83628,414.23448
2001-06,AL,,5.56,398.57839,7169.37956
2001-06,RI,,12.02,76.96174,640.1463
2001-07,AL,,5.81,452.58496,7794.07207
2001-07,NJ,,9.95,699.466,7028.44855
2001-07,NH,,11.08,99.11242,894.45017
2001-07,NV,,8.57,250.37093,2919.84268
2001-07,NE,,6.1,153.99827,2523.71261
2001-07,MT,,6.35,59.56054,938.25068
2001-07,MO,,7.28,545.90012,7499.82481
2001-07,MS,,6.72,295.17456,4391.52074
2001-07,MN,,6.84,394.95547,5774.27878
2001-07,MI,,7.22,693.97777,9610.85333
2001-07,MA,,13.35,615.84023,4611.46189
2001-07,MD,,7.58,421.42164,5563.24264
2001-07,ME,,11.17,109.39499,979.09829
2001-07,LA,,6.91,494.19193,7147.21308
2001-07,KY,,4.75,316.95347,6669.52793
2001-07,KS,,6.82,279.48081,4097.55456
2001-07,IA,,6.83,266.73646,3905.19927
2001-07,WY,,4.62,47.68529,1033.15659
2001-07,WI,,6.28,385.06583,6136.15668
2001-07,WV,,5.15,117.22209,2275.61243
2001-07,WA,,5.35,286.5916,5354.74603
2001-07,VA,,6.41,570.37822,8896.42304
2001-07,VT,,11.03,52.15588,472.84795
2001-07,UT,,5.48,120.08686,2189.99856
2001-07,TX,,7.98,2515.43918,31533.48222
2001-07,TN,,5.69,490.32068,8623.3544
2001-07,SD,,6.84,55.173,806.9072
2001-07,DC,,9.03,88.29808,977.78096
2001-07,DE,,7.64,81.02231,1060.89162
2001-07,SC,,5.97,415.96641,6968.04377
2001-07,RI,,12.01,78.84856,656.43058
2001-07,PA,,8.39,983.73157,11718.76238
2001-07,OR,,5.21,177.00967,3398.36888
2001-07,OK,,7.1,383.89498,5404.21755
2001-07,OH,,6.97,1003.48127,14407.43476
2001-07,ND,,5.99,49.10431,819.13687
2001-07,NC,,6.82,758.9955,11133.20291
2001-07,NY,,13.26,1663.81731,12547.91953
2001-07,NM,,7.22,129.70614,1796.3496
2001-07,IN,,5.45,495.46262,9085.50413
2001-07,IL,,7.72,1008.35452,13059.38017
2001-07,ID,,5.05,97.49352,1931.90982
2001-07,HI,,14.27,122.96895,862.02219
2001-07,GA,,7.0,815.60746,11651.44569
2001-07,FL,,7.84,1503.54325,19189.71746
2001-07,CT,,9.78,261.52362,2674.32939
2001-07,CO,,5.99,250.01077,4172.48104
2001-07,CA,,13.47,2900.29901,21538.5926
2001-07,AR,,6.47,270.17119,4176.61212
2001-07,AZ,,7.78,504.02299,6475.18991
2001-07,AK,,10.39,43.74995,421.09334
2001-08,AL,,5.78,457.32416,7906.56345
2001-08,LA,,6.45,480.033,7441.22737
2001-08,KY,,4.71,335.47944,7125.37691
2001-08,KS,,6.8,269.45157,3963.31452
2001-08,IA,,6.85,269.70284,3934.9444
2001-08,IN,,5.38,513.69519,9544.73819
2001-08,IL,,7.78,1081.44233,13895.24861
2001-08,ID,,5.17,104.40926,2019.84128
2001-08,HI,,14.28,125.67338,879.80314
2001-08,GA,,7.1,874.04566,12307.1695
2001-08,WY,,4.58,52.45932,1146.31006
2001-08,WI,,6.28,399.90545,6372.93371
2001-08,WV,,5.14,121.84854,2369.75638
2001-08,WA,,5.47,291.40296,5327.83292
2001-08,VA,,6.57,617.96183,9403.76786
2001-08,VT,,10.89,54.80281,503.21287
2001-08,UT,,5.47,119.37084,2180.64764
2001-08,TX,,8.0,2708.30673,33863.6911
2001-08,TN,,5.65,518.62665,9181.89611
2001-08,SD,,6.82,58.10187,851.79335
2001-08,NC,,6.82,798.53831,11708.74782
2001-08,NY,,12.69,1735.01554,13671.28749
2001-08,NM,,7.35,130.46884,1774.35193
2001-08,NJ,,9.89,754.32691,7628.68321
2001-08,SC,,6.06,440.43287,7265.7043
2001-08,RI,,11.49,84.57084,736.2086
2001-08,PA,,8.45,1058.61123,12535.15304
2001-08,OR,,5.25,185.09729,3528.13455
2001-08,OK,,7.1,398.37215,5612.61728
2001-08,OH,,6.97,1039.12141,14908.07901
2001-08,ND,,6.02,50.44504,837.64664
2001-08,NH,,10.6,101.96297,962.04347
2001-08,NV,,8.59,257.08879,2994.25647
2001-08,NE,,6.02,151.4139,2516.54341
2001-08,MN,,6.88,413.77314,6014.23397
2001-08,MI,,7.29,742.90118,10186.68285
2001-08,MT,,6.37,63.11647,990.51006
2001-08,MO,,7.08,531.02663,7501.99229
2001-08,MS,,6.82,312.19132,4578.04857
2001-08,FL,,7.9,1530.5131,19369.65931
2001-08,DC,,8.39,91.97267,1095.93102
2001-08,DE,,7.73,82.71387,1069.4215
2001-08,CT,,9.89,295.58603,2987.35865
2001-08,CO,,6.14,248.36165,4044.75599
2001-08,CA,,13.12,3120.03468,23772.48986
2001-08,MA,,10.23,526.2766,5145.97463
2001-08,MD,,7.71,469.15986,6087.3292
2001-08,ME,,11.16,119.27836,1068.80086
2001-08,AR,,6.58,291.3267,4428.11278
2001-08,AZ,,7.87,514.06824,6529.11864
2001-08,AK,,10.78,45.5571,422.70564
2001-09,SD,,6.54,47.32994,724.02079
