date,state,trips_pop_at_home,trips_pop_not_at_home,trips_n_total,trips_n_lt_1,trips_n_1_3,trips_n_3_5,trips_n_5_10,trips_n_10_25,trips_n_25_50,Number of Trips 50-100,trips_n_100_250,trips_n_250_500,trips_n_gt_500
2021-10,CO,39564.572932330826,139395.44310776942,843605.3779448621,243207.80551378446,201549.6761904762,95929.83558897243,128076.64160401003,122665.24260651629,32112.286215538847,13021.054636591478,4169.568922305764,1012.1433583959899,1861.1233082706767
2021-10,CT,160841.01075268816,631444.9892473118,3267926.4444444445,964355.046594982,852464.9462365592,362216.4336917563,424122.8028673835,444354.1863799283,146499.59498207885,59261.24731182796,11473.856630824373,1472.1290322580646,1706.200716845878
2021-10,DC,190082.43548387097,515666.56451612903,3990802.5483870967,1671865.2419354839,922541.7580645161,475222.37096774194,520843.3064516129,291968.48387096776,74401.96774193548,12461.048387096775,8250.41935483871,5663.306451612903,7584.645161290323
2021-10,DE,99331.95161290323,387550.0483870968,1905064.7983870967,551645.9274193548,480547.06451612903,217008.9193548387,282797.98387096776,233990.33870967742,88305.05645161291,35943.66935483871,13192.967741935483,1002.1209677419355,630.75
2021-10,FL,135108.91081593928,496589.23624288425,2180512.7509487667,632222.5621442125,544879.2680265654,269527.0085388994,336983.1091081594,272631.4463946869,78683.81688804553,26154.11432637571,13039.75237191651,2898.7082542694498,3492.9648956356737
2021-10,GA,27325.29798387097,105392.48951612903,473002.94657258067,129129.6810483871,108597.66491935484,54467.93528225806,72224.85806451613,70028.07822580646,25297.003427419353,7748.284072580645,3940.6183467741935,1069.0112903225806,499.8118951612903
2021-10,HI,143322.2451612903,423009.3548387097,1853984.1225806451,614986.0516129032,473409.73548387096,192105.8258064516,237875.5677419355,284952.9032258064,36910.41935483871,7446.477419354838,3121.8709677419356,828.2516129032258,2347.0193548387097
2021-10,IA,12618.848387096774,50482.551612903226,250095.76741935484,69417.12451612903,64544.21419354839,28623.05129032258,32216.700967741934,31922.813548387097,14269.756774193549,5766.677096774193,2822.2767741935486,371.65516129032255,141.49709677419355
2021-10,ID,16231.389964157706,63193.72114695341,267303.7555555556,66383.72401433691,77108.93189964158,28769.066666666666,36893.58279569892,37121.600716845875,12379.553405017921,5305.547670250896,2559.47311827957,525.2609318996416,257.01433691756273
2021-10,IL,56496.430942687126,189558.345756342,1069152.7469464454,352554.2549326652,247761.35671782022,112063.3623551519,140300.2007516442,141523.82806138427,51227.5555903539,13910.612590040713,6755.136548700282,1826.034450360163,1230.4049483244598
2021-10,IN,29469.47866805411,115309.42455775234,606735.5896635449,175919.69892473117,147979.114117239,74548.06174124176,86848.52133194589,78862.16024973986,27342.480402358655,9603.636489767603,4364.939646201873,802.0790842872009,464.8976760319112
2021-10,KS,11646.7699330493,43321.41874619598,236209.83536214242,77932.98234936093,60142.976262933655,25399.367315885574,29460.061777236762,27475.012172854535,9528.324102251978,3648.718198417529,1975.5200852099817,439.66646378575774,207.20663420572123
2021-10,KY,15390.023460410557,58455.811250333245,300621.83284457476,77733.63876299653,71881.87789922688,39059.15409224207,47410.55985070648,41360.750199946684,14587.224740069314,5352.861903492402,2678.8440415889095,373.2977872567315,183.62356704878698
2021-10,LA,29063.167741935486,113976.6476426799,579854.7081885856,172263.53399503723,138020.81786600497,68402.26947890819,87178.56674937965,73260.33598014888,24735.74987593052,10297.061042183623,4337.970719602978,959.8709677419355,398.53151364764267
2021-10,MA,202001.58279569892,716998.8172043011,4615895.2064516125,1453326.017204301,1196184.569892473,507338.81505376345,606378.5161290322,589189.1978494624,188324.88817204302,56659.784946236556,14018.552688172043,1595.621505376344,2879.243010752688
2021-10,MD,99255.35096774194,384399.04903225804,2034448.3238709678,600828.5806451613,503625.0270967742,223655.91483870966,284336.8838709677,282160.05161290325,98772.04258064517,26612.363870967743,10938.330322580645,2244.224516129032,1274.9045161290323
2021-10,ME,30540.1669829222,127602.42125237192,648429.4193548387,152140.08918406072,164654.43074003796,78822.12333965844,98900.56925996205,104874.83870967742,32644.409867172675,11515.495256166983,4265.218216318785,333.965844402277,278.27893738140415
