date,state,consumption-for-eg,consumption-for-eg-btu,consumption-uto,consumption-uto-btu,generation,total-consumption,total-consumption-btu
2001-07,OK,,66.575,,3.098,6374.598,,69.67
2001-07,IA,,44.398,,3.345,3949.795,,47.743
2001-07,ND,,30.35,,0.304,2688.012,,30.654
2001-07,NV,,31.181,,0.244,2923.845,,31.426
2001-07,GA,,126.113,,11.895,12077.028,,138.01
2001-07,WY,,45.247,,0.706,4128.229,,45.953
2001-07,MA,,33.061,,1.429,3359.422,,35.133
2001-07,VT,,5.03,,0.006,478.102,,5.036
2001-07,MS,,56.76,,3.442,5823.78,,60.206
2001-07,NY,,138.753,,4.666,13127.806,,143.412
2001-07,WA,,61.633,,4.15,6058.354,,65.782
2001-07,NM,,34.778,,0.446,3319.695,,35.221
2001-07,CT,,27.042,,0.784,2589.21,,27.827
2001-07,NE,,31.931,,0.127,2983.656,,32.058
2001-07,SD,,7.604,,0.0,712.901,,7.604
2001-07,AK,,6.607,,0.554,553.925,,7.161
2001-07,TX,,399.243,,35.968,39939.836,,435.203
2001-07,IN,,122.632,,7.418,11597.529,,130.049
2001-07,KS,,48.808,,0.196,4454.021,,49.006
2001-07,HI,,9.918,,0.695,936.028,,10.614
2001-07,PA,,184.305,,5.017,17841.919,,189.752
2001-07,SC,,95.696,,2.499,8637.74,,98.193
2001-07,OH,,126.211,,5.767,12415.923,,131.983
2001-07,DC,,0.377,,0.0,24.107,,0.377
2001-07,DE,,7.062,,0.928,658.145,,7.989
2001-07,NC,,114.684,,6.388,11101.971,,121.069
2001-07,AR,,48.054,,1.576,4564.078,,49.631
2001-07,VA,,80.725,,7.989,6949.851,,88.716
2001-07,MN,,48.186,,3.132,4516.024,,51.317
2001-07,NJ,,59.833,,2.846,5667.685,,62.676
2001-07,MT,,23.142,,0.937,2147.991,,24.079
2001-07,WV,,81.507,,1.518,8001.256,,83.024
2001-07,ID,,11.195,,2.35,1124.1,,13.546
2001-07,TN,,92.657,,7.405,8489.708,,100.062
2001-07,NH,,15.334,,0.251,1407.513,,15.585
2001-07,MO,,84.471,,0.563,8057.211,,85.036
2001-07,KY,,96.168,,0.034,9153.53,,96.202
2001-07,MI,,114.094,,4.182,10491.946,,118.276
2001-07,LA,,93.828,,17.877,9024.895,,111.702
2001-07,UT,,33.879,,0.209,3306.21,,34.09
2001-07,WI,,64.039,,5.371,5713.805,,69.414
2001-07,OR,,31.903,,0.81,3244.327,,32.713
2001-07,AL,,123.862,,11.979,12083.31,,135.842
2001-07,MD,,47.929,,0.692,4568.848,,48.619
2001-07,CA,,208.618,,17.949,19794.556,,226.562
2001-07,CO,,45.634,,1.324,4254.903,,46.959
2001-07,ME,,15.211,,6.559,1691.145,,21.769
2001-08,DC,,0.68,,0.0,47.587,,0.68
2001-08,MA,,37.946,,1.486,3800.628,,40.144
2001-08,MD,,53.944,,0.566,5103.74,,54.511
2001-08,KS,,48.137,,0.221,4406.427,,48.357
2001-08,AR,,48.192,,4.557,4538.995,,52.75
2001-08,RI,,6.488,,0.189,789.519,,6.68
2001-08,NH,,15.239,,0.211,1397.092,,15.451
2001-08,NC,,126.546,,6.646,12337.804,,133.193
2001-08,NM,,30.499,,0.481,2921.975,,30.979
2001-08,ND,,31.199,,0.341,2820.223,,31.541
2001-08,VA,,88.209,,8.382,7732.727,,96.592
2001-08,NY,,154.972,,5.609,14719.546,,160.588
2001-08,NV,,34.084,,0.265,3234.749,,34.35
2001-08,GA,,126.868,,11.698,12090.26,,138.564
2001-08,OR,,33.576,,0.71,3511.174,,34.285
2001-08,CA,,213.082,,18.716,20307.443,,231.788
2001-08,AK,,7.326,,0.783,586.796,,8.11
2001-08,DE,,9.783,,0.757,931.323,,10.54
2001-08,SD,,8.646,,0.0,826.653,,8.646
2001-08,NJ,,68.349,,2.918,6427.343,,71.267
2001-08,IA,,44.188,,3.667,3899.326,,47.855
2001-08,WI,,64.372,,6.281,5768.842,,70.649
2001-08,CT,,31.426,,0.827,3063.574,,32.252
2001-08,FL,,202.971,,8.805,19755.769,,211.777
2001-08,IN,,126.16,,7.534,11895.147,,133.696
2001-08,MO,,87.679,,0.558,8225.01,,88.238
2001-08,ID,,10.879,,2.329,1141.175,,13.208
2001-08,CO,,45.803,,1.409,4258.974,,47.212
2001-08,HI,,10.103,,0.767,957.816,,10.87
2001-08,NE,,31.507,,0.136,2965.856,,31.643
2001-08,WA,,71.604,,3.908,7045.917,,75.508
2001-08,MS,,55.132,,2.908,5654.418,,58.037
2001-08,AZ,,84.973,,0.361,8257.966,,85.334
2001-08,PA,,190.926,,5.096,18427.853,,196.44
2001-08,OH,,139.916,,5.286,13745.928,,145.205
2001-08,MT,,23.143,,0.807,2180.469,,23.949
2001-08,KY,,97.485,,0.033,9240.835,,97.518
2001-08,WV,,82.444,,1.559,8211.78,,84.008
2001-08,TN,,99.617,,7.733,9142.632,,107.345
2001-08,LA,,98.857,,18.935,9254.092,,117.783
2001-08,VT,,4.912,,0.008,464.013,,4.92
2001-08,ME,,18.447,,7.838,2005.644,,26.29
2001-08,OK,,63.948,,2.825,6187.885,,66.775
2001-08,WY,,44.358,,0.77,3900.801,,45.131
2001-08,UT,,33.559,,0.219,3279.087,,33.778
2001-08,TX,,393.592,,35.718,39376.594,,429.303
2001-08,SC,,99.886,,2.463,8918.603,,102.348
2001-08,MI,,118.66,,4.214,10933.56,,122.874
2001-08,IL,,185.519,,4.614,16994.651,,190.135
2001-08,MN,,45.932,,3.557,4325.689,,49.489
2001-08,AL,,128.975,,11.747,12520.917,,140.72
2001-09,WA,,63.887,,3.901,6271.53,,67.789
2001-09,MT,,21.595,,0.653,1999.681,,22.248
2001-09,SC,,80.104,,2.38,7270.901,,82.485
2001-09,IL,,156.088,,4.106,14281.396,,160.192
2001-09,NM,,27.466,,0.428,2601.299,,27.894
2001-09,HI,,9.542,,0.756,898.73,,10.294
2001-09,IN,,105.575,,6.501,10085.994,,112.08
2001-09,VA,,66.996,,7.199,5736.863,,74.19
2001-09,KY,,83.146,,0.03,7875.899,,83.176
2001-09,SD,,8.058,,0.0,775.904,,8.058
2001-09,OK,,49.413,,2.895,4661.52,,52.307
2001-09,MS,,49.919,,2.844,4976.55,,52.761
2001-09,OH,,114.304,,4.876,11460.354,,119.194
2001-09,NH,,14.693,,0.196,1350.562,,14.887
2001-09,CT,,27.789,,0.746,2701.134,,28.535
2001-09,FL,,176.855,,8.898,17107.088,,185.751
2001-09,CA,,183.58,,18.127,16852.629,,201.714
2001-09,MD,,43.464,,0.563,4175.7,,44.028
2001-09,ME,,16.115,,7.076,1752.34,,23.191
2001-09,LA,,78.584,,17.255,7525.832,,95.837
2001-09,RI,,6.374,,0.115,762.797,,6.489
2001-09,MI,,86.523,,4.006,7752.935,,90.53
2001-09,MA,,30.331,,1.305,2976.987,,32.386
2001-09,OR,,32.02,,0.741,3328.436,,32.76
2001-09,AL,,113.541,,9.479,11014.51,,123.016
2001-09,KS,,40.334,,0.176,3640.128,,40.513
2001-09,MO,,71.246,,0.5,6662.236,,71.745
2001-09,DC,,0.0,,0.0,0.0,,0.0
2001-09,GA,,98.826,,10.229,9236.56,,109.057
2001-09,AK,,7.185,,0.719,640.166,,7.906
2001-09,NJ,,52.427,,2.613,4966.426,,55.043
2001-09,NV,,29.239,,0.238,2895.516,,29.476
2001-09,NE,,28.955,,0.113,2712.274,,29.069
2001-09,WY,,31.619,,0.764,2985.163,,32.381
2001-09,MN,,42.798,,2.497,3970.185,,45.296
2001-09,PA,,156.532,,4.696,15210.385,,161.717
2001-09,VT,,4.686,,0.006,445.008,,4.692
2001-09,TN,,87.477,,6.4,8103.377,,93.879
2001-09,WI,,50.05,,5.562,4484.159,,55.611
2001-09,TX,,324.925,,35.901,32471.977,,360.82
2001-09,AR,,46.764,,2.257,4220.271,,49.021
2001-09,ID,,7.045,,1.919,749.9,,8.961
2001-09,UT,,32.095,,0.237,3160.352,,32.331
2001-09,IA,,36.181,,3.339,3210.55,,39.518
2001-09,WV,,58.01,,1.283,5847.463,,59.293
2001-09,NY,,122.02,,4.766,11583.029,,126.813
