state,value,date
FL,2.920967741935484,2019-08-01
FL,2.9080645161290324,2020-08-01
FL,3.1629032258064513,2021-08-01
FL,2.424193548387097,2022-08-01
FL,3.4833333333333334,2019-09-01
FL,3.7616666666666663,2020-09-01
FL,2.5683333333333334,2021-09-01
FL,3.203333333333333,2022-09-01
FL,3.512903225806452,2019-10-01
FL,3.801612903225806,2020-10-01
FL,3.22741935483871,2021-10-01
FL,2.9596774193548385,2022-10-01
FL,3.2049999999999996,2019-11-01
FL,4.176666666666667,2020-11-01
FL,3.14,2021-11-01
FL,3.6016666666666666,2022-11-01
FL,3.888709677419355,2019-12-01
FL,3.390322580645161,2020-12-01
FL,2.729032258064516,2021-12-01
FL,3.179032258064516,2022-12-01
IA,4.274193548387097,2019-01-01
IA,4.070967741935484,2020-01-01
IA,3.698387096774194,2021-01-01
IA,4.537096774193548,2022-01-01
IA,4.376785714285714,2019-02-01
IA,3.963793103448276,2020-02-01
IA,3.8375,2021-02-01
IA,4.873214285714285,2022-02-01
IA,4.319354838709677,2019-03-01
IA,4.493548387096775,2020-03-01
IA,4.548387096774194,2021-03-01
IA,4.843548387096774,2022-03-01
IA,4.746666666666667,2019-04-01
IA,4.546666666666667,2020-04-01
IA,4.308333333333334,2021-04-01
IA,5.235,2022-04-01
IA,3.7096774193548385,2019-05-01
IA,3.832258064516129,2020-05-01
IA,3.958064516129032,2021-05-01
IA,4.312903225806451,2022-05-01
IA,3.2449999999999997,2019-06-01
IA,3.493333333333333,2020-06-01
IA,2.9949999999999997,2021-06-01
IA,3.415,2022-06-01
IA,2.8370967741935487,2019-07-01
IA,2.5403225806451615,2020-07-01
IA,2.448387096774194,2021-07-01
IA,2.9741935483870967,2022-07-01
IA,2.3,2019-08-01
IA,2.9048387096774193,2020-08-01
IA,2.6500000000000004,2021-08-01
IA,2.803225806451613,2022-08-01
IA,3.3733333333333335,2019-09-01
IA,3.4183333333333334,2020-09-01
IA,3.243333333333333,2021-09-01
IA,3.1816666666666666,2022-09-01
IA,3.737096774193548,2019-10-01
IA,3.9661290322580647,2020-10-01
IA,3.6225806451612903,2021-10-01
IA,3.509677419354839,2022-10-01
IA,3.9633333333333334,2019-11-01
IA,4.483333333333333,2020-11-01
